,Unnamed: 0,Unnamed: 0.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,pred
395,576,576,3.22841476648246e+18,1.2376673237882e+18,22.0450248718262,20.9308013916016,20.830980300903303,20.813978195190398,20.3745517730713,0.087441496551037,0.068133823573589,0.04713466018438299,0.035026106983423,0.026052987203002004,23.2896575927734,1,2.37120461463928,1.2446327209472,2.3588562011718,2.4586772918701003,2.4756793975830003,2.9151058197021,1.1142234802246,1.2140445709228995,1.2310466766358,1.6704730987549,0.09982109069829903,0.116823196411204,0.556249618530302,0.017002105712905,0.456428527832003,0.4394264221190979,0
435,624,624,6.38787466471093e+18,1.23766732432166e+18,21.799013137817397,21.040094375610398,20.8776683807373,20.825611114502,20.5319137573242,0.15652075409889202,0.12195990979671499,0.08437130600214,0.062696918845177,0.046634990721940994,22.6527976989746,1,2.22335362434387,0.853784561157202,1.6127033233642,1.7751293182373,1.8271865844726003,2.1208839416504,0.758918762206999,0.921344757080096,0.9734020233153979,1.2670993804932,0.16242599487309695,0.21448326110839802,0.508180618286197,0.052057266235302,0.3457546234130999,0.29369735717779805,0
472,675,675,6.38263217931105e+18,1.23766742902663e+18,21.556526184082,20.2630996704102,20.1841430664063,20.112169265747106,20.123027801513697,0.07663473486900299,0.05971326678991299,0.04130936041474298,0.030697284266352997,0.0228331387043,22.095766067504893,1,2.8214485645294203,0.539239883422898,1.8326663970947001,1.9116230010986,1.98359680175779,1.9727382659911998,1.2934265136718,1.3723831176757,1.4443569183348999,1.4334983825683,0.078956604003899,0.15093040466309698,0.14007186889650194,0.07197380065919799,0.061115264892603,-0.010858535766594998,0
477,684,684,3.18872679456494e+18,1.23766742902997e+18,21.7444381713867,21.0543365478516,20.859462738037106,20.7320709228516,20.3900413513184,0.074504889547825,0.05805370584130301,0.040161285549402,0.029844138771296,0.022198555991054,24.2628898620605,1,2.3066570758819602,2.5184516906737997,3.2085533142088996,3.4034271240233998,3.5308189392088996,3.8728485107421,0.6901016235350991,0.884975433349599,1.0123672485350999,1.3543968200683,0.19487380981449892,0.322265625,0.664295196533203,0.127391815185501,0.469421386718704,0.34202957153320296,0
483,690,690,6.37482127018217e+18,1.23766742903233e+18,20.694776535034197,19.9698314666748,19.6269569396973,19.3834838867188,19.3881664276123,0.080150812864304,0.062452968209982,0.043204672634602,0.032105702906847,0.023880744352937,21.9421730041504,1,1.5704414844512902,1.2473964691161998,1.9723415374756001,2.3152160644531,2.5586891174316,2.5540065765381,0.724945068359396,1.0678195953369,1.3112926483154,1.3066101074218999,0.34287452697750004,0.586347579956001,0.5816650390625,0.24347305297850105,0.23879051208500002,-0.0046825408935009995,0
484,691,691,6.37482127769836e+18,1.23766742903253e+18,21.8456592559814,20.8967819213867,20.702711105346697,20.7603492736816,20.4381713867188,0.07281382381916099,0.056736037135124,0.03924972936511,0.029166754335165,0.021694706752896,22.3791770935059,1,1.04101586341858,0.533517837524499,1.4823951721192,1.6764659881592,1.6188278198243,1.9410057067871,0.9488773345946979,1.1429481506347,1.0853099822998,1.4074878692626005,0.194070816040004,0.136432647705099,0.458610534667901,-0.057638168334904004,0.26453971862789805,0.322177886962802,0
489,704,704,3.24354404648065e+18,1.23766742955871e+18,21.9886589050293,21.1958084106445,21.2872924804688,21.0877647399902,21.1588306427002,0.109613224864006,0.085409887135029,0.05908616259694099,0.043907351791859,0.032659001648426014,22.875953674316396,1,2.48344492912292,0.8872947692870949,1.6801452636719,1.5886611938476003,1.7881889343261999,1.7171230316161998,0.7928504943848009,0.701366424560501,0.900894165039102,0.829828262329102,-0.09148406982430099,0.1080436706543,0.036977767944301,0.199527740478601,0.12846183776860098,-0.07106590271,0
510,731,731,6.37482129273075e+18,1.23766742957038e+18,22.0103759765625,21.409713745117198,21.2954502105713,21.2681503295898,21.2857723236084,0.09085470438003501,0.07079336792230599,0.048974525183439005,0.036393322050571,0.027069944888352997,22.0794296264648,1,0.933057308197021,0.06905364990230099,0.6697158813476031,0.7839794158935011,0.811279296875,0.793657302856403,0.600662231445302,0.7149257659912,0.7422256469726992,0.724603652954102,0.11426353454589801,0.141563415527397,0.1239414215088,0.027299880981499,0.009677886962900999,-0.017621994018597,0
513,737,737,3.23594422210947e+18,1.23766743008995e+18,22.4160041809082,20.8009262084961,20.7009048461914,20.7115173339844,21.193679809570305,0.08293829858303099,0.064624957740307,0.044707246124744006,0.033222276717424004,0.024711269885302,24.0555858612061,1,3.1148054599762003,1.6395816802978995,3.2546596527099996,3.3546810150147004,3.3440685272217,2.8619060516358,1.6150779724121,1.7150993347168002,1.7044868469238001,1.2223243713379,0.10002136230470199,0.08940887451170099,-0.3927536010742009,-0.010612487793000999,-0.492774963378903,-0.48216247558590203,0
514,738,738,3.23594422210947e+18,1.23766743008995e+18,22.4160041809082,20.8009262084961,20.7009048461914,20.7115173339844,21.193679809570305,0.08293829858303099,0.064624957740307,0.044707246124744006,0.033222276717424004,0.024711269885302,24.0555858612061,1,3.1138370037078897,1.6395816802978995,3.2546596527099996,3.3546810150147004,3.3440685272217,2.8619060516358,1.6150779724121,1.7150993347168002,1.7044868469238001,1.2223243713379,0.10002136230470199,0.08940887451170099,-0.3927536010742009,-0.010612487793000999,-0.492774963378903,-0.48216247558590203,0
525,757,757,3.8023070596234e+18,1.23766743009677e+18,22.7184886932373,22.099773406982397,21.8991184234619,22.144258499145497,21.8055438995361,0.120495423674583,0.09388921409845401,0.064952127635479,0.04826638847589499,0.03590132668614398,24.045108795166,0,2.00223135948181,1.3266201019286998,1.9453353881836,2.1459903717041002,1.9008502960205,2.2395648956298997,0.6187152862549039,0.819370269775401,0.574230194091804,0.9129447937011999,0.20065498352049696,-0.0444850921631,0.294229507446296,-0.245140075683597,0.09357452392579901,0.338714599609396,1
542,779,779,6.38787465075229e+18,1.23766743010168e+18,22.6774883270264,21.4926929473877,21.7603950500488,21.684398651123,21.366130828857397,0.090964153409004,0.070878654718399,0.049033522605895996,0.036437161266804005,0.027102556079626,21.952894210815398,1,0.84003359079361,-0.724594116211001,0.46020126342769896,0.192499160766598,0.268495559692397,0.5867633819580009,1.1847953796386999,0.9170932769775992,0.9930896759033979,1.311357498169,-0.267702102661101,-0.19170570373530202,0.126562118530302,0.07599639892579901,0.394264221191403,0.318267822265604,0
568,818,818,3.8023070596234e+18,1.23766743063357e+18,23.833816528320302,21.7163486480713,21.4873580932617,21.583589553832997,20.5229091644287,0.13939268887043,0.108613841235638,0.075138553977013,0.055835995823144996,0.041531722992659,24.109655380249,1,1.3198034763336202,0.275838851928697,2.3933067321777,2.6222972869873,2.526065826416,3.5867462158203,2.117467880249,2.3464584350586,2.2502269744873,3.3109073638916002,0.22899055480959896,0.132759094238303,1.1934394836426,-0.09623146057129599,0.9644489288330008,1.0606803894043,0
572,822,822,3.85036891189675e+18,1.23766743063396e+18,22.970350265502898,20.8072147369385,20.707321166992198,20.8478565216064,20.5059223175049,0.10191962122917199,0.079415075480938,0.054938983172178,0.040825553238391994,0.030366711318492997,23.96160316467289,1,2.91464114189148,0.9912528991700001,3.1543884277344,3.2542819976807005,3.1137466430665,3.455680847168,2.1631355285644,2.2630290985107,2.1224937438965,2.4644279479980002,0.09989356994630301,-0.040641784667897994,0.301292419433601,-0.140535354614201,0.20139884948729805,0.3419342041014989,0
573,825,825,6.37767116888998e+18,1.23766743063468e+18,21.24162292480469,20.59002113342289,20.5471878051758,20.4341831207275,20.581375122070305,0.12126612663269,0.09448974579572696,0.065367564558983,0.048575107008219,0.036130957305431,22.0771827697754,1,2.27755498886108,0.835559844970703,1.4871616363525,1.5299949645996,1.6429996490478995,1.4958076477051,0.6516017913818001,0.6944351196288989,0.8074398040771981,0.660247802734396,0.042833328247099,0.15583801269539801,0.008646011352596001,0.11300468444829904,-0.034187316894503,-0.147192001342802,0
574,827,827,6.37841010512626e+18,1.23766743063541e+18,21.192058563232397,20.6223773956299,20.6740283966064,20.6486225128174,20.7540645599365,0.148017942905426,0.11533457785844801,0.07978793233633,0.059290982782841,0.044101599603891,22.0379199981689,1,2.4825034141540496,0.8458614349365021,1.4155426025389999,1.3638916015625,1.3892974853514999,1.2838554382324,0.569681167602496,0.518030166625998,0.543436050414996,0.4379940032958979,-0.051651000976499,-0.0262451171875,-0.13168716430659802,0.025405883788999002,-0.0800361633301,-0.105442047119098,0
577,830,830,6.38787463357242e+18,1.23766743063718e+18,22.0768203735352,21.292547225952106,21.393817901611303,21.5224304199219,21.197217941284197,0.080783009529114,0.06294557452201799,0.043545454740524,0.032358940690756004,0.024069106206297996,22.610776901245107,1,2.4641904830932595,0.533956527709904,1.318229675293,1.2169589996338002,1.0883464813232,1.4135589599609095,0.7842731475830971,0.683002471923896,0.554389953613299,0.879602432251001,-0.10127067565920099,-0.229883193969798,0.095329284667905,-0.12861251831059695,0.196599960327106,0.325212478637702,0
583,836,836,6.38787464430984e+18,1.23766743063829e+18,18.5600872039795,19.3403415679932,20.2680912017822,27.237764358520497,27.1103134155273,0.08599760383367501,0.067008756101131,0.046356346458197,0.034447733312845,0.0256227850914,23.196163177490202,1,1.14212334156036,4.6360759735107,3.855821609497,2.9280719757080003,-4.0416011810303,-3.9141502380371,-0.7802543640136999,-1.7080039978026995,-8.677677154541,-8.5502262115478,-0.927749633789002,-7.897422790527298,-7.7699718475341,-6.9696731567383,-6.8422222137450985,0.127450942993196,0
