,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
989,1109,1109,19031,6380204450122826813,1237678859551900072,22.7717018127441,21.623083114624,21.5957107543945,21.6096248626709,21.4811172485352,0.290978968143463,0.226728841662407,0.15684996545314805,0.116556338965893,0.0866964980959892,21.989253997802702,22.0219345092773,0,5.34775924682617,-0.7824478149413991,0.36617088317870383,0.3935432434082031,0.379629135131804,0.5081367492675035,1.148618698120103,1.1759910583496025,1.1620769500732029,1.2905845642089029,0.02737236022949929,0.013458251953100131,0.14196586608879969,-0.013914108276399162,0.1145935058593004,0.12850761413569955,-0.03268051147459872,0.7497673034668004,-0.39885139465330255,-0.4262237548828017,-0.4123096466064027,-0.5408172607421022,1
1086,1209,1209,20339,3779120558217628285,1237678881569767724,22.192567825317397,21.767396926879893,20.1645526885986,19.395299911499,19.0785140991211,0.118971101939678,0.0927014723420143,0.0641304478049278,0.0476557984948158,0.0354471579194069,24.0934543609619,24.085111618042003,1,0.450594484806061,1.9008865356445028,2.326057434082003,3.9289016723632986,4.698154449462901,5.014940261840799,0.4251708984375,2.0280151367187957,2.7972679138183985,3.114053726196296,1.6028442382812962,2.3720970153808985,2.6888828277587957,0.7692527770996023,1.0860385894775,0.3167858123778977,0.008342742919897006,-1.8925437927246056,-2.3177146911621063,-3.9205589294434016,-4.689811706543004,-5.006597518920903,0
1087,1210,1210,20340,3779120558217628285,1237678881569767724,22.192567825317397,21.767396926879893,20.1645526885986,19.395299911499,19.0785140991211,0.118971101939678,0.0927014723420143,0.0641304478049278,0.0476557984948158,0.0354471579194069,24.0934543609619,24.085111618042003,1,0.450543284416199,1.9008865356445028,2.326057434082003,3.9289016723632986,4.698154449462901,5.014940261840799,0.4251708984375,2.0280151367187957,2.7972679138183985,3.114053726196296,1.6028442382812962,2.3720970153808985,2.6888828277587957,0.7692527770996023,1.0860385894775,0.3167858123778977,0.008342742919897006,-1.8925437927246056,-2.3177146911621063,-3.9205589294434016,-4.689811706543004,-5.006597518920903,0
1157,1281,1281,20970,2548511960038653267,1237678890135388979,23.837081909179698,23.7667751312256,21.629873275756804,20.557243347168,19.8825645446777,0.111052639782429,0.0865314602851868,0.0598620660603046,0.0444839298725128,0.0330878719687462,23.6458415985107,24.293756484985398,1,3.98405718803406,-0.1912403106689986,-0.1209335327149006,2.015968322753896,3.088598251342699,3.7632770538330007,0.07030677795409801,2.207208633422894,3.2798385620116965,3.9545173645019993,2.1369018554687957,3.2095317840575994,3.8842105865479017,1.0726299285888032,1.7473087310791051,0.6746788024903019,-0.6479148864746982,-0.4566745758056996,-0.5269813537597976,-2.6638832092285942,-3.736513137817397,-4.4111919403077,0
1293,1430,1430,23523,2547597166364345596,1237679254134456648,22.956199645996104,21.1934089660645,20.7676277160645,20.2380657196045,24.1976013183594,0.0819887444376946,0.0638850703835487,0.0441953986883163,0.0328419171273708,0.0244283527135849,23.864505767822298,25.4864196777344,1,1.09191751480103,0.9083061218261932,2.6710968017577983,3.0968780517577983,3.6264400482177983,-0.3330955505371023,1.7627906799316049,2.1885719299316047,2.718133926391605,-1.2414016723632957,0.42578125,0.95534324646,-3.004192352294901,0.52956199646,-3.429973602294901,-3.9595355987549015,-1.6219139099121025,-2.5302200317382955,-4.2930107116699014,-4.7187919616699014,-5.2483539581299015,-1.288818359375,0
1384,1529,1529,25651,2547104585356419690,1237679341106495884,22.805049896240202,22.212709426879893,22.263612747192397,21.7346038818359,21.7319984436035,0.120824575424194,0.094145692884922,0.0651295557618141,0.0483982376754284,0.0359993986785412,22.2613162994385,23.5476913452148,1,1.65515208244324,-0.543733596801701,0.04860687255860442,-0.002296447753895593,0.526712417602603,0.529317855835,0.5923404693603054,0.5414371490478054,1.070446014404304,1.0730514526367008,-0.0509033203125,0.4781055450439986,0.4807109832763956,0.5290088653564986,0.5316143035888956,0.002605438232397006,-1.2863750457762997,-0.7426414489745987,-1.334981918334904,-1.284078598022404,-1.8130874633789027,-1.8156929016113,0
1437,1588,1588,26209,2915731251529784862,1237679435599315370,21.190294265747106,20.9017448425293,19.180477142334002,18.2864952087402,17.776775360107397,0.11446374654769904,0.0891893729567528,0.0617007948458195,0.0458503030240536,0.0341042019426823,23.7909240722656,23.6765480041504,1,1.57776260375977,2.600629806518498,2.8891792297363,4.610446929931598,5.504428863525401,6.014148712158202,0.28854942321780186,2.0098171234131,2.9037990570069034,3.4135189056397053,1.7212677001952983,2.6152496337891016,3.1249694824219034,0.8939819335938033,1.4037017822266051,0.5097198486328018,0.11437606811519885,-2.486253738403299,-2.774803161621101,-4.496070861816398,-5.390052795410202,-5.899772644043003,0
1438,1589,1589,26210,2915731251529784862,1237679435599315370,21.190294265747106,20.9017448425293,19.180477142334002,18.2864952087402,17.776775360107397,0.11446374654769904,0.0891893729567528,0.0617007948458195,0.0458503030240536,0.0341042019426823,23.7909240722656,23.6765480041504,1,0.5043063759803771,2.600629806518498,2.8891792297363,4.610446929931598,5.504428863525401,6.014148712158202,0.28854942321780186,2.0098171234131,2.9037990570069034,3.4135189056397053,1.7212677001952983,2.6152496337891016,3.1249694824219034,0.8939819335938033,1.4037017822266051,0.5097198486328018,0.11437606811519885,-2.486253738403299,-2.774803161621101,-4.496070861816398,-5.390052795410202,-5.899772644043003,0
1454,1606,1606,26533,2547174953899263564,1237679439888581166,24.219913482666,22.8029098510742,21.729610443115202,20.868844985961896,20.0965480804443,0.110701180994511,0.0862576141953468,0.0596726164221764,0.0443431474268436,0.0329831577837467,23.33552360534669,24.3784675598145,1,0.7319011092185971,-0.8843898773193041,0.5326137542724965,1.605913162231495,2.4666786193848007,3.2389755249023966,1.4170036315918004,2.490303039550799,3.351068496704105,4.123365402221701,1.0732994079589986,1.934064865112305,2.706361770629901,0.8607654571533061,1.6330623626709018,0.7722969055175959,-1.042943954467802,-0.1585540771484979,-1.5755577087402983,-2.648857116699297,-3.509622573852603,-4.281919479370199,0
1455,1607,1607,26536,6451584724596949274,1237679439888712250,22.818801879882802,22.0739917755127,21.2591819763184,20.5008773803711,20.0163955688477,0.112074747681618,0.0873278900980949,0.0604130290448666,0.044893354177475,0.0333924070000649,21.8962936401367,22.027578353881804,1,0.470369875431061,-0.9225082397461009,-0.17769813537599788,0.6371116638183025,1.3954162597656,1.879898071289002,0.744810104370103,1.5596199035644034,2.317924499511701,2.8024063110351034,0.8148097991943004,1.5731143951415982,2.057596206665,0.7583045959472976,1.2427864074706996,0.48448181152340203,-0.13128471374510298,0.7912235260009979,0.0464134216308949,-0.7683963775634055,-1.526700973510703,-2.011182785034105,0
