,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
27,271,271,5082,6378621164116248163,1237667781765103801,20.074878692627,19.9770603179932,20.296527862548803,20.5947895050049,21.1650409698486,0.170628756284714,0.13295277953147902,0.0919761136174202,0.0683481097221375,0.0508384369313717,19.9160938262939,19.5309562683105,0,-1.29691825350164e-05,-0.15878486633310018,-0.06096649169930046,-0.3804340362549041,-0.6786956787110014,-1.2489471435547017,0.09781837463379972,-0.22164916992180395,-0.5199108123779013,-1.0901622772216015,-0.3194675445556037,-0.617729187011701,-1.1879806518554012,-0.2982616424560973,-0.8685131072997976,-0.5702514648437003,0.3851375579833984,0.5439224243164986,0.4461040496826989,0.7655715942383026,1.0638332366944,1.6340847015381,0
28,280,280,5332,3156040512896502572,1237667782297649686,22.4543514251709,21.4027271270752,21.3123245239258,21.4362907409668,21.581901550293,0.12653166055679302,0.0985926166176796,0.0682059153914452,0.0506843030452728,0.0376998111605644,23.7006988525391,23.197608947753896,0,-7.448422547895459e-05,1.2463474273682031,2.2979717254639027,2.3883743286133026,2.2644081115723007,2.118797302246101,1.0516242980956996,1.1420269012450994,1.018060684204098,0.8724498748778977,0.09040260314939984,-0.03356361389160156,-0.17917442321780186,-0.1239662170410014,-0.2695770263672017,-0.1456108093262003,0.503089904785206,-0.7432575225829972,-1.7948818206786967,-1.8852844238280968,-1.7613182067870952,-1.6157073974608949,0
29,282,282,5370,6378621174853667898,1237667782302236788,19.988872528076197,19.867486953735398,20.1943759918213,20.425012588501,20.6527996063232,0.175004556775093,0.136362358927727,0.0943348482251167,0.0701009035110474,0.0521421954035759,19.686897277832,19.51017761230469,0,-7.73576684878208e-05,-0.3019752502441975,-0.18058967590339847,-0.5074787139893004,-0.7381153106690022,-0.9659023284912004,0.12138557434079901,-0.20550346374510287,-0.4361400604248047,-0.6639270782470028,-0.326889038085902,-0.5575256347656037,-0.7853126525878018,-0.2306365966797017,-0.4584236145018998,-0.2277870178221981,0.17671966552730112,0.4786949157714986,0.3573093414306996,0.6841983795166016,0.9148349761963032,1.1426219940185014,0
30,291,291,5664,6378867507334221023,1237667782833143847,20.1280212402344,19.989456176757802,20.292278289794897,20.5919513702393,21.616735458374,0.108959458768368,0.0849004685878754,0.0587337538599968,0.0436454750597477,0.0324642136693001,19.72279167175289,19.471637725830103,0,8.57272534631193e-05,-0.40522956848150216,-0.2666645050049041,-0.5694866180419993,-0.8691596984864027,-1.8939437866211009,0.13856506347659805,-0.16425704956049714,-0.4639301300049006,-1.4887142181395987,-0.3028221130370952,-0.6024951934814986,-1.6272792816161967,-0.29967308044440344,-1.3244571685791016,-1.024784088134698,0.2511539459227947,0.6563835144042969,0.5178184509276988,0.8206405639647941,1.1203136444091977,2.145097732543896,0
31,292,292,5690,6378726716158771674,1237667782835241250,20.548141479492198,20.1568431854248,20.3998584747314,20.7061977386475,20.860670089721697,0.083258181810379,0.0648742094635963,0.0448796786367893,0.0333504118025303,0.0248065795749426,20.537767410278303,20.3914642333984,0,0.000460363662568852,-0.01037406921389561,0.3809242248535014,0.13790893554690342,-0.16843032836919747,-0.3229026794433949,0.391298294067397,0.14828300476079906,-0.15805625915530186,-0.3125286102294993,-0.24301528930659802,-0.5493545532226989,-0.7038269042968963,-0.3063392639161009,-0.4608116149902983,-0.15447235107419746,0.14630317687990413,0.15667724609379974,-0.2346210479735973,0.008394241333000707,0.3147335052491016,0.469205856323299,0
33,294,294,5700,6378726738707353060,1237667782835896473,20.2211608886719,20.016414642334002,20.3691558837891,20.702093124389602,20.9168758392334,0.0636563375592232,0.0496005862951279,0.0343134552240372,0.0254985764622688,0.0189662557095289,19.8206882476807,19.428432464599602,0,-0.000477779249195009,-0.4004726409912003,-0.19572639465330247,-0.548467636108402,-0.8814048767089027,-1.0961875915526988,0.20474624633789773,-0.1479949951172017,-0.4809322357177024,-0.6957149505614986,-0.35274124145509944,-0.6856784820556001,-0.9004611968993963,-0.3329372406005007,-0.5477199554442969,-0.21478271484379616,0.3922557830810973,0.7927284240722976,0.5879821777343999,0.9407234191894992,1.27366065979,1.4884433746337962,0
34,307,307,5914,6382632155690828170,1237667783357759713,19.5745315551758,19.677104949951197,20.006814956665,20.317485809326197,20.3629512786865,0.115920767188072,0.0903246775269508,0.0624861903488636,0.046433936804533,0.0345383174717426,19.502740859985398,19.923044204711896,0,0.000283668050542474,-0.07179069519040128,-0.174364089965799,-0.5040740966796022,-0.814744949340799,-0.8602104187011008,-0.10257339477539773,-0.43228340148920097,-0.7429542541503977,-0.7884197235106996,-0.32971000671380324,-0.640380859375,-0.6858463287353018,-0.3106708526611968,-0.3561363220214986,-0.04546546936030183,-0.42030334472649855,-0.3485126495360973,-0.24593925476069955,0.08377075195310367,0.3944416046143005,0.4399070739746023,0
35,330,330,6337,6378621143715153706,1237667783912063066,19.777690887451197,19.7265892028809,20.1179046630859,20.4052791595459,20.9433631896973,0.10537014901638002,0.0821037068963051,0.0567989647388458,0.0422077178955078,0.03139478713274,19.423658370971697,19.411937713623,0,-0.000250379292992875,-0.3540325164794993,-0.302930831909201,-0.6942462921142011,-0.9816207885742008,-1.5197048187256037,0.05110168457029829,-0.3402137756347017,-0.6275882720947017,-1.1656723022461044,-0.391315460205,-0.678689956665,-1.2167739868164027,-0.28737449645999996,-0.8254585266114027,-0.5380840301514027,0.01172065734869676,0.3657531738281961,0.31465148925789777,0.7059669494628977,0.9933414459228976,1.5314254760743005,0
36,356,356,6743,6378726687167742916,1237667911129235689,20.3349113464355,20.0971088409424,20.4682922363281,20.7919998168945,21.2267246246338,0.12598046660423298,0.0981631278991699,0.0679087936878204,0.0504635125398636,0.0375355817377567,20.2298526763916,20.0857887268066,0,-0.00045232273987494404,-0.10505867004389913,0.132743835449201,-0.2384395599364985,-0.5621471405028977,-0.9968719482421982,0.2378025054931001,-0.13338088989259944,-0.4570884704589986,-0.8918132781982991,-0.3711833953856996,-0.6948909759520987,-1.1296157836913991,-0.32370758056639914,-0.7584323883056996,-0.4347248077393005,0.14406394958500002,0.24912261962889914,0.011320114135799031,0.3825035095214986,0.7062110900878977,1.1409358978271982,0
37,367,367,6974,6378726745149801759,1237667912206188694,20.434139251709002,20.1345901489258,20.388069152832,20.7080478668213,20.9463329315186,0.0533622577786446,0.0415795110166073,0.0287645123898983,0.0213751159608364,0.015899159014225003,20.312328338623,20.1678314208984,0,-0.000361916521796957,-0.12181091308600145,0.17773818969720168,-0.07574081420899859,-0.39571952819829903,-0.6340045928956002,0.2995491027832031,0.04607009887700286,-0.2739086151122976,-0.5121936798095987,-0.25347900390620026,-0.5734577178955007,-0.8117427825928019,-0.31997871398930045,-0.5582637786866016,-0.23828506469730115,0.14449691772460227,0.2663078308106037,-0.033241271972599414,0.22023773193360088,0.5402164459229013,0.7785015106202025,0
